agent_name,agent_id,agency_name,agency_id,commission_period,commission_amount,plan_name,is_adjusted,effective_date,term_date,carrier_name,description
James Gregory Martinez,,Unknown-Name,,2024-06,25.5,Healthfirst Signature (HMO),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Signature (HMO),True,,,Healthfirst,
Joseph M Moore,,Unknown-Name,,2024-02,175.0,,True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Todd Butler,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Increased Benefits Plan (HMO),True,,,Healthfirst,
Cesar White Sanders,,Unknown-Name,,2024-06,21.25,Healthfirst Increased Benefits Plan (HMO),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Increased Benefits Plan (HMO),True,,,Healthfirst,
Marvin Carpenter,,Unknown-Name,,2024-06,25.5,Healthfirst Increased Benefits Plan (HMO),True,,,Healthfirst,
Cynthia Smith Contreras Patel,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,102.08,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Pamela Friedman,,Unknown-Name,,2024-06,178.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Brian Morgan,,Unknown-Name,,2024-06,25.5,Healthfirst Signature (HMO),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Signature (HMO),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Francisco Mullins,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-05,116.67,Healthfirst Signature (HMO),True,,,Healthfirst,
Kevin Parks,,Unknown-Name,,2024-05,204.0,Healthfirst Signature (HMO),True,,,Healthfirst,
James Gregory Martinez,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Austin Santos,,Unknown-Name,,2024-06,611.0,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,175.0,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Elizabeth Roth,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Increased Benefits Plan (HMO),True,,,Healthfirst,
Kevin Parks,,Unknown-Name,,2024-06,25.5,Healthfirst Increased Benefits Plan (HMO),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Signature (HMO),True,,,Healthfirst,
Patrick De La Evans,,Unknown-Name,,2024-06,25.5,Healthfirst Signature (HMO),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Laurie Lee,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Paul Hooper,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Courtney Rivera,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Signature (HMO),True,,,Healthfirst,
Cesar White Sanders,,Unknown-Name,,2024-06,25.5,Healthfirst Signature (HMO),True,,,Healthfirst,
Stephen Bailey,,Unknown-Name,,2024-02,175.0,,True,,,Healthfirst,
Patty Jackson,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Paul Davis,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Steven Gregory Carpenter,,Unknown-Name,,2024-01,175.0,,True,,,Healthfirst,
"Shelly Johnston Dba Mcgrath, Fernandez And Cohen",,Unknown-Name,,2024-06,25.5,Healthfirst Signature (HMO),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Signature (HMO),True,,,Healthfirst,
James Gregory Martinez,,Unknown-Name,,2024-06,25.5,Healthfirst CompleteCare (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst CompleteCare (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Elizabeth Roth,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Richard Mcclure,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Patty Jackson,,Unknown-Name,,2024-06,25.5,Healthfirst Signature (HMO),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Signature (HMO),True,,,Healthfirst,
Samuel Ochoa,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Javier Meyers,,Unknown-Name,,2024-06,21.25,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Anthony Reid,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Tammy Moore Brady,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
James Gregory Martinez,,Unknown-Name,,2024-06,25.5,Medicare PPO Plan (HFIC),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Medicare PPO Plan (HFIC),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Chelsea Butler Good Leach Senior Services Corp,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Todd Scott,,Unknown-Name,,2024-06,25.5,Healthfirst Increased Benefits Plan (HMO),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Increased Benefits Plan (HMO),True,,,Healthfirst,
Austin Santos,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Signature (HMO),True,,,Healthfirst,
Chelsea Butler Good Leach Senior Services Corp,,Unknown-Name,,2024-06,25.5,Healthfirst Signature (HMO),True,,,Healthfirst,
Brittany Smith,,Unknown-Name,,2024-01,175.0,,True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Brittany Smith,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Chelsea Butler Good Leach Senior Services Corp,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Javier Meyers,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Javier Meyers,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Austin Santos,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,2024-06-30,Healthfirst,
Todd Martinez,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,2024-06-30,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Signature (HMO),True,,,Healthfirst,
Todd Martinez,,Unknown-Name,,2024-06,25.5,Healthfirst Signature (HMO),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Chelsea Butler Good Leach Senior Services Corp,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2022-06,-10.42,,True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2022-06,-10.42,,True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2022-06,-10.42,,True,,,Healthfirst,
Tracy G Perez Dba Miller Plc,,Unknown-Name,,2024-06,25.5,Healthfirst Signature (HMO),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Signature (HMO),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Kevin Parks,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Cynthia Smith Contreras Patel,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-03,72.92,Healthfirst Life Improvement Plan (HMO SNP),True,,2024-05-31,Healthfirst,
Richard Mcclure,,Unknown-Name,,2024-03,254.58,Healthfirst Life Improvement Plan (HMO SNP),True,,2024-05-31,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,102.08,Healthfirst CompleteCare (HMO SNP),True,,,Healthfirst,
Richard Mcclure,,Unknown-Name,,2024-06,356.42,Healthfirst CompleteCare (HMO SNP),True,,,Healthfirst,
James Gregory Martinez,,Unknown-Name,,2024-02,175.0,,True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Monica M Page Gilbert Ramirez May Llc,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Pamela Friedman,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
James Scott,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Diana Hayes Wilson Consulting Cherry Flowers Inc,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Kevin Parks,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Kathy Jones,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Daniel Holland Parks,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Signature (HMO),True,,,Healthfirst,
Brittany Smith,,Unknown-Name,,2024-06,25.5,Healthfirst Signature (HMO),True,,,Healthfirst,
Kevin Nelson,,Unknown-Name,,2023-03,25.08,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,DISENROLLMENT BECAUSE OF ENROLLMENT IN ANOTHER PLAN (13)
Kevin Nelson,,Unknown-Name,,2023-04,25.08,Healthfirst Life Improvement Plan (HMO SNP),True,,2024-03-31,Healthfirst,DISENROLLMENT BECAUSE OF ENROLLMENT IN ANOTHER PLAN (13)
Kevin Nelson,,Unknown-Name,,2023-05,25.08,Healthfirst Life Improvement Plan (HMO SNP),True,,2024-03-31,Healthfirst,DISENROLLMENT BECAUSE OF ENROLLMENT IN ANOTHER PLAN (13)
Kevin Nelson,,Unknown-Name,,2023-06,25.08,Healthfirst Life Improvement Plan (HMO SNP),True,,2024-03-31,Healthfirst,DISENROLLMENT BECAUSE OF ENROLLMENT IN ANOTHER PLAN (13)
Kevin Nelson,,Unknown-Name,,2023-07,25.08,Healthfirst Life Improvement Plan (HMO SNP),True,,2024-03-31,Healthfirst,DISENROLLMENT BECAUSE OF ENROLLMENT IN ANOTHER PLAN (13)
Kevin Nelson,,Unknown-Name,,2023-08,25.08,Healthfirst Life Improvement Plan (HMO SNP),True,,2024-03-31,Healthfirst,DISENROLLMENT BECAUSE OF ENROLLMENT IN ANOTHER PLAN (13)
Kevin Nelson,,Unknown-Name,,2023-09,25.08,Healthfirst Life Improvement Plan (HMO SNP),True,,2024-03-31,Healthfirst,DISENROLLMENT BECAUSE OF ENROLLMENT IN ANOTHER PLAN (13)
Kevin Nelson,,Unknown-Name,,2023-10,25.08,Healthfirst Life Improvement Plan (HMO SNP),True,,2024-03-31,Healthfirst,DISENROLLMENT BECAUSE OF ENROLLMENT IN ANOTHER PLAN (13)
Dylan Ward,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Patrick De La Evans,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Steven Gregory Carpenter,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
David Lambert,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Chelsea Butler Good Leach Senior Services Corp,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Daniel Holland Parks,,Unknown-Name,,2024-06,25.5,Healthfirst CompleteCare (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst CompleteCare (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Elizabeth Roth,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Kevin Nelson,,Unknown-Name,,2023-03,25.08,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Kevin Nelson,,Unknown-Name,,2023-04,25.08,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Kevin Nelson,,Unknown-Name,,2023-05,25.08,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Kevin Nelson,,Unknown-Name,,2023-06,25.08,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Elizabeth Roth,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Todd Butler,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Kevin Nelson,,Unknown-Name,,2023-07,25.08,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Kevin Nelson,,Unknown-Name,,2023-08,25.08,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Kevin Nelson,,Unknown-Name,,2023-09,25.08,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Kevin Nelson,,Unknown-Name,,2023-10,25.08,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Tammy C Anderson,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Kevin Parks,,Unknown-Name,,2024-02,175.0,,True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Chelsea Butler Good Leach Senior Services Corp,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
David Lambert,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Signature (HMO),True,,,Healthfirst,
Kevin Parks,,Unknown-Name,,2024-06,25.5,Healthfirst Signature (HMO),True,,,Healthfirst,
Samuel Ochoa,,Unknown-Name,,2024-06,25.5,Healthfirst 65 Plus Plan (HMO),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst 65 Plus Plan (HMO),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Paul Davis,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Signature (HMO),True,,,Healthfirst,
Chelsea Butler Good Leach Senior Services Corp,,Unknown-Name,,2024-06,25.5,Healthfirst Signature (HMO),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Signature (HMO),True,,,Healthfirst,
Laurie Lee,,Unknown-Name,,2024-06,25.5,Healthfirst Signature (HMO),True,,,Healthfirst,
"Alexis Freeman Anderson Dba Nguyen, Shelton And Odonnell",,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst 65 Plus Plan (HMO),True,,,Healthfirst,
Monica M Page Gilbert Ramirez May Llc,,Unknown-Name,,2024-06,25.5,Healthfirst 65 Plus Plan (HMO),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Brittany Smith,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Austin Davis,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Austin Davis,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Patrick De La Evans,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Jennifer Jackson,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Samuel Ochoa,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Austin Davis,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,175.0,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Javier Meyers,,Unknown-Name,,2024-06,611.0,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Diana Hayes Wilson Consulting Cherry Flowers Inc,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Increased Benefits Plan (HMO),True,,,Healthfirst,
Chelsea Butler Good Leach Senior Services Corp,,Unknown-Name,,2024-06,25.5,Healthfirst Increased Benefits Plan (HMO),True,,,Healthfirst,
James Gregory Martinez,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Joseph Bradley Torres,,Unknown-Name,,2024-06,21.25,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Brittany Smith,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Diana Hayes Wilson Consulting Cherry Flowers Inc,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Tammy Moore Brady,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Jacqueline M Howard,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Brittany Smith,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Courtney Rivera,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Chelsea Butler Good Leach Senior Services Corp,,Unknown-Name,,2024-06,25.5,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst CompleteCare (HMO SNP),True,,,Healthfirst,
Brittany Smith,,Unknown-Name,,2024-06,25.5,Healthfirst CompleteCare (HMO SNP),True,,,Healthfirst,
Delta Care Corporation,,Delta Care Corporation,,2024-06,10.42,Healthfirst Life Improvement Plan (HMO SNP),True,,,Healthfirst,
